owner,repo,contributor,commits
tidyverse,haven,maxheld83,1
tidyverse,haven,austensen,1
tidyverse,haven,pkq,1
tidyverse,haven,tklebel,1
tidyverse,haven,oscardssmith,1
tidyverse,hms,krlmlr,169
tidyverse,hms,qgeissmann,4
tidyverse,hms,batpigandme,2
tidyverse,hms,hadley,1
tidyverse,hms,jeroen,1
tidyverse,hms,vspinu,1
tidyverse,lubridate,vspinu,613
tidyverse,lubridate,garrettgman,601
tidyverse,lubridate,hadley,178
tidyverse,lubridate,ijlyttle,19
tidyverse,lubridate,imanuelcostigan,7
tidyverse,lubridate,batpigandme,6
tidyverse,lubridate,cderv,6
tidyverse,lubridate,jasonelaw,6
tidyverse,lubridate,joethorley,4
tidyverse,lubridate,larmarange,4
tidyverse,lubridate,lorenzwalthert,4
tidyverse,lubridate,dougmitarotonda,4
tidyverse,lubridate,alberthkcheng,3
tidyverse,lubridate,dpseidel,3
tidyverse,lubridate,krlmlr,3
tidyverse,lubridate,wibeasley,3
tidyverse,lubridate,billdenney,2
tidyverse,lubridate,gnustats,2
tidyverse,lubridate,christophergandrud,2
tidyverse,lubridate,QuLogic,2
tidyverse,lubridate,jonboiser,2
tidyverse,lubridate,zeehio,2
tidyverse,lubridate,ateucher,1
tidyverse,lubridate,arneschillert,1
tidyverse,lubridate,tuttinator,1
tidyverse,lubridate,cmartin,1
tidyverse,lubridate,infotroph,1
tidyverse,lubridate,hoesler,1
tidyverse,lubridate,ctbrown,1
tidyverse,lubridate,ekstroem,1
tidyverse,lubridate,dmedri,1
tidyverse,lubridate,dpocock,1
tidyverse,lubridate,drkrynstrng,1
tidyverse,lubridate,gadenbuie,1
tidyverse,lubridate,jiho,1
tidyverse,lubridate,jimhester,1
tidyverse,lubridate,juba,1
tidyverse,lubridate,kendonB,1
tidyverse,lubridate,Kevin-M-Smith,1
tidyverse,lubridate,lselzer,1
tidyverse,lubridate,moslehi,1
tidyverse,lubridate,mmparker,1
tidyverse,lubridate,mkuehn10,1
tidyverse,lubridate,Ironholds,1
tidyverse,lubridate,schoonees,1
tidyverse,lubridate,richierocks,1
tidyverse,lubridate,superchordate,1
tidyverse,lubridate,setempler,1
tidyverse,lubridate,datalove,1
tidyverse,lubridate,tsbattman,1
tidyverse,lubridate,wch,1
tidyverse,lubridate,shrektan,1
tidyverse,lubridate,fieldryand,1
tidyverse,lubridate,jjchern,1
tidyverse,lubridate,lambiase,1
tidyverse,lubridate,muschellij2,1
tidyverse,lubridate,peytonm,1
tidyverse,lubridate,rnuske,1
tidyverse,lubridate,tberkowitz,1
tidyverse,magrittr,smbache,110
tidyverse,magrittr,hadley,58
tidyverse,magrittr,tonytonov,3
tidyverse,magrittr,casallas,3
tidyverse,magrittr,dlebauer,2
tidyverse,magrittr,prosoitos,2
tidyverse,magrittr,rsaporta,2
tidyverse,magrittr,ajschumacher,1
tidyverse,magrittr,bfgray3,1
tidyverse,magrittr,dchudz,1
tidyverse,magrittr,gaborcsardi,1
tidyverse,magrittr,jdnewmil,1
tidyverse,magrittr,jimhester,1
tidyverse,magrittr,lionel-,1
tidyverse,magrittr,pkq,1
tidyverse,magrittr,robertzk,1
tidyverse,magrittr,romainfrancois,1
tidyverse,magrittr,steromano,1
tidyverse,magrittr,wibeasley,1
tidyverse,magrittr,isomorphisms,1
tidyverse,magrittr,leerssej,1
tidyverse,modelr,hadley,95
tidyverse,modelr,lionel-,10
tidyverse,modelr,dgrtwo,8
tidyverse,modelr,jrnold,4
tidyverse,modelr,bensoltoff,1
tidyverse,modelr,sjPlot,1
tidyverse,modelr,EllaKaye,1
tidyverse,modelr,RoyalTS,1
tidyverse,modelr,dtelad11,1
tidyverse,modelr,jmarshallnz,1
tidyverse,modelr,neilmontgomery,1
tidyverse,modelr,yutannihilation,1
tidyverse,principles,hadley,8
tidyverse,principles,jennybc,6
tidyverse,principles,lindbrook,1
tidyverse,purrr,lionel-,443
tidyverse,purrr,hadley,389
tidyverse,purrr,jennybc,9
tidyverse,purrr,yutannihilation,7
tidyverse,purrr,batpigandme,6
tidyverse,purrr,flying-sheep,5
tidyverse,purrr,michaelquinn32,5
tidyverse,purrr,dandermotj,5
tidyverse,purrr,krlmlr,5
tidyverse,purrr,cderv,3
tidyverse,purrr,coolbutuseless,3
tidyverse,purrr,artemklevtsov,2
tidyverse,purrr,daniel-barnett,2
tidyverse,purrr,jameslamb,2
tidyverse,purrr,jimhester,2
tidyverse,purrr,mikmart,2
tidyverse,purrr,wibeasley,2
tidyverse,purrr,burchill,2
tidyverse,purrr,jrnold,2
tidyverse,purrr,aaronwolen,1
tidyverse,purrr,pierucci,1
tidyverse,purrr,AshesITR,1
tidyverse,purrr,benmarwick,1
tidyverse,purrr,ColinFay,1
tidyverse,purrr,davharris,1
tidyverse,purrr,dchiu911,1
tidyverse,purrr,egnha,1
tidyverse,purrr,ijlyttle,1
tidyverse,purrr,ilarischeinin,1
tidyverse,purrr,namelessjon,1
tidyverse,purrr,rv-jizzard,1
tidyverse,purrr,huftis,1
tidyverse,purrr,prosoitos,1
tidyverse,purrr,markdly,1
tidyverse,purrr,msonnabaum,1
tidyverse,purrr,maurolepore,1
tidyverse,purrr,mgirlich,1
tidyverse,purrr,mikelove,1
tidyverse,purrr,NoahMarconi,1
tidyverse,purrr,pkq,1
tidyverse,purrr,phaverty,1
tidyverse,purrr,richierocks,1
tidyverse,purrr,rmflight,1
tidyverse,purrr,romainfrancois,1
tidyverse,purrr,RLesur,1
tidyverse,purrr,sjackman,1
tidyverse,purrr,tjmahr,1
tidyverse,purrr,t-kalinowski,1
tidyverse,purrr,tyluRp,1
tidyverse,purrr,vspinu,1
tidyverse,purrr,emojiencoding,1
tidyverse,purrr,dgromer,1
tidyverse,purrr,gergness,1
tidyverse,purrr,jankislinger,1
tidyverse,purrr,michaelweylandt,1
tidyverse,purrr,smbache,1
tidyverse,readr,hadley,679
tidyverse,readr,jimhester,399
tidyverse,readr,romainfrancois,122
tidyverse,readr,npjc,33
tidyverse,readr,jrnold,26
tidyverse,readr,edwindj,8
tidyverse,readr,batpigandme,8
tidyverse,readr,jennybc,7
tidyverse,readr,Ironholds,6
tidyverse,readr,astamm,5
tidyverse,readr,asnr,5
tidyverse,readr,krlmlr,5
tidyverse,readr,yutannihilation,4
tidyverse,readr,bearloga,4
tidyverse,readr,gergness,3
tidyverse,readr,sambrady3,3
tidyverse,readr,dewittpe,3
tidyverse,readr,md0u80c9,2
tidyverse,readr,cderv,2
tidyverse,readr,DanRuderman,2
tidyverse,readr,mawds,2
tidyverse,readr,jeroen,2
tidyverse,readr,kbenoit,2
tidyverse,readr,hoehleatsu,2
tidyverse,readr,michaelquinn32,2
tidyverse,readr,kmillar,2
tidyverse,readr,noamross,2
tidyverse,readr,dickoa,1
tidyverse,readr,alyst,1
tidyverse,readr,ajdamico,1
tidyverse,readr,pierucci,1
tidyverse,readr,benmarwick,1
tidyverse,readr,billdenney,1
tidyverse,readr,bbrewington,1
tidyverse,readr,cboettig,1
tidyverse,readr,christophergandrud,1
tidyverse,readr,daattali,1
tidyverse,readr,cb4ds,1
tidyverse,readr,nacnudus,1
tidyverse,readr,QuLogic,1
tidyverse,readr,fpinter,1
tidyverse,readr,gregrs-uk,1
tidyverse,readr,ijlyttle,1
tidyverse,readr,izahn,1
tidyverse,readr,dapperjapper,1
tidyverse,readr,jdeboer,1
tidyverse,readr,johnmcdonnell,1
tidyverse,readr,namelessjon,1
tidyverse,readr,KKulma,1
tidyverse,readr,kwstat,1
tidyverse,readr,LluisRamon,1
tidyverse,readr,mikmart,1
tidyverse,readr,olgamie,1
tidyverse,readr,RomeroBarata,1
tidyverse,readr,rgknight,1
tidyverse,readr,zeehio,1
tidyverse,readr,uribo,1
tidyverse,readr,leeper,1
tidyverse,readr,tigertoes,1
tidyverse,readr,TonyLadson,1
tidyverse,readr,tvedebrink,1
tidyverse,readr,wibeasley,1
tidyverse,readr,antoine-lizee,1
tidyverse,readr,blakeboswell,1
tidyverse,readr,dgromer,1
tidyverse,readr,ghaarsma,1
tidyverse,readr,ryanatanner,1
tidyverse,readr,osorensen,1
tidyverse,readxl,jennybc,246
tidyverse,readxl,hadley,176
tidyverse,readxl,jeroen,10
tidyverse,readxl,jirkalewandowski,7
tidyverse,readxl,bquast,4
tidyverse,readxl,jimhester,4
tidyverse,readxl,zeehio,4
tidyverse,readxl,batpigandme,3
tidyverse,readxl,nacnudus,2
tidyverse,readxl,apreshill,1
tidyverse,readxl,apjanke,1
tidyverse,readxl,benmarwick,1
tidyverse,readxl,dchiu911,1
tidyverse,readxl,FvD,1
tidyverse,readxl,gergness,1
tidyverse,readxl,JakeRuss,1
tidyverse,readxl,kevinushey,1
tidyverse,readxl,kwstat,1
tidyverse,readxl,krlmlr,1
tidyverse,readxl,mkuhn,1
tidyverse,readxl,PedramNavid,1
tidyverse,readxl,rohan-shah,1
tidyverse,readxl,tklebel,1
tidyverse,reprex,jennybc,401
tidyverse,reprex,hadley,25
tidyverse,reprex,jimhester,4
