owner,repo,contributor,commits,repo_contributor_count
tidyverse,dplyr,simon-anders,1,204
tidyverse,dplyr,StevenMMortimer,1,204
tidyverse,dplyr,DasAllFolks,1,204
tidyverse,dplyr,sowla,1,204
tidyverse,dplyr,setempler,1,204
tidyverse,dplyr,takahisah,1,204
tidyverse,dplyr,tcarnus,1,204
tidyverse,dplyr,tomfaulhaber,1,204
tidyverse,dplyr,t-kalinowski,1,204
tidyverse,dplyr,tonyelhabr,1,204
tidyverse,dplyr,tonyfischetti,1,204
tidyverse,dplyr,wibeasley,1,204
tidyverse,dplyr,wfjvdham,1,204
tidyverse,dplyr,yihui,1,204
tidyverse,dplyr,dongzhuoer,1,204
tidyverse,dplyr,arcoutte,1,204
tidyverse,dplyr,beansrowning,1,204
tidyverse,dplyr,pachevalier,1,204
tidyverse,dplyr,chayajones,1,204
tidyverse,dplyr,cwickham,1,204
tidyverse,dplyr,davidkane9,1,204
tidyverse,dplyr,dpastoor,1,204
tidyverse,dplyr,echasnovski,1,204
tidyverse,dplyr,eipi10,1,204
tidyverse,dplyr,harrismcgehee,1,204
tidyverse,dplyr,helix123,1,204
tidyverse,dplyr,hoxo-m,1,204
tidyverse,dplyr,hs3180,1,204
tidyverse,dplyr,jbao,1,204
tidyverse,dplyr,jjchern,1,204
tidyverse,dplyr,krterberg,1,204
tidyverse,dplyr,laresbernardo,1,204
tidyverse,dplyr,lehy-probayes,1,204
tidyverse,dplyr,mnfn,1,204
tidyverse,dplyr,psychometrician,1,204
tidyverse,dplyr,shea-parkes,1,204
tidyverse,dplyr,shearerp,1,204
tidyverse,dplyr,suzanbaert,1,204
tidyverse,dplyr,takapai,1,204
tidyverse,dplyr,teramonagi,1,204
tidyverse,dplyr,tverbeke,1,204
tidyverse,dplyr,zachcp,1,204
tidyverse,dtplyr,hadley,961,30
tidyverse,dtplyr,romainfrancois,261,30
tidyverse,dtplyr,lionel-,24,30
tidyverse,dtplyr,christophsax,16,30
tidyverse,dtplyr,hannesmuehleisen,14,30
tidyverse,dtplyr,krlmlr,9,30
tidyverse,dtplyr,kevinushey,5,30
tidyverse,dtplyr,jimhester,4,30
tidyverse,dtplyr,batpigandme,4,30
tidyverse,dtplyr,arunsrinivasan,3,30
tidyverse,dtplyr,lindbrook,3,30
tidyverse,dtplyr,MichaelChirico,3,30
tidyverse,dtplyr,earino,2,30
tidyverse,dtplyr,pimentel,2,30
tidyverse,dtplyr,ilarischeinin,2,30
tidyverse,dtplyr,uribo,2,30
tidyverse,dtplyr,alyst,1,30
tidyverse,dtplyr,craigcitro,1,30
tidyverse,dtplyr,eibanez,1,30
tidyverse,dtplyr,jl5000,1,30
tidyverse,dtplyr,jonthegeek,1,30
tidyverse,dtplyr,psanker,1,30
tidyverse,dtplyr,richpauloo,1,30
tidyverse,dtplyr,cosinequanon,1,30
tidyverse,dtplyr,JoshuaSturm,1,30
tidyverse,dtplyr,tmastny,1,30
tidyverse,dtplyr,xiaodaigh,1,30
tidyverse,dtplyr,hs3180,1,30
tidyverse,dtplyr,jennybc,1,30
tidyverse,dtplyr,leondutoit,1,30
tidyverse,forcats,hadley,187,43
tidyverse,forcats,batpigandme,13,43
tidyverse,forcats,robinsones,11,43
tidyverse,forcats,krlmlr,4,43
tidyverse,forcats,lionel-,3,43
tidyverse,forcats,gtm19,2,43
tidyverse,forcats,jtr13,2,43
tidyverse,forcats,rtaph,2,43
tidyverse,forcats,yimingli,2,43
tidyverse,forcats,zhiiiyang,2,43
tidyverse,forcats,jennybc,2,43
tidyverse,forcats,kbodwin,2,43
tidyverse,forcats,yeedle,1,43
tidyverse,forcats,alberthkcheng,1,43
tidyverse,forcats,AmeliaMN,1,43
tidyverse,forcats,AndrewKinsman,1,43
tidyverse,forcats,billdenney,1,43
tidyverse,forcats,BarkleyBG,1,43
tidyverse,forcats,ismayc,1,43
tidyverse,forcats,colinbrislawn,1,43
tidyverse,forcats,dpprdan,1,43
tidyverse,forcats,wilkox,1,43
tidyverse,forcats,alistaire47,1,43
tidyverse,forcats,gregrs-uk,1,43
tidyverse,forcats,jhuovari,1,43
tidyverse,forcats,jeremystan,1,43
tidyverse,forcats,jimhester,1,43
tidyverse,forcats,johngoldin,1,43
tidyverse,forcats,jonocarroll,1,43
tidyverse,forcats,gralgomez,1,43
tidyverse,forcats,lwjohnst86,1,43
tidyverse,forcats,mitchelloharawild,1,43
tidyverse,forcats,monicagerber,1,43
tidyverse,forcats,riinuots,1,43
tidyverse,forcats,Ryo-N7,1,43
tidyverse,forcats,808sAndBR,1,43
tidyverse,forcats,sinarueeger,1,43
tidyverse,forcats,tklebel,1,43
tidyverse,forcats,tslumley,1,43
tidyverse,forcats,eipi10,1,43
tidyverse,forcats,mgacc0,1,43
