owner,repo,cran_urls,primary_url,news_url
r-lib,gh,"https://gh.r-lib.org/, https://github.com/r-lib/gh#readme",https://gh.r-lib.org,https://gh.r-lib.org/news/index.html
r-lib,vdiffr,"https://vdiffr.r-lib.org/, https://github.com/r-lib/vdiffr",https://vdiffr.r-lib.org,https://vdiffr.r-lib.org/news/index.html
tidymodels,tune,"https://github.com/tidymodels/tune, https://tune.tidymodels.org",https://tune.tidymodels.org,https://tune.tidymodels.org/news/index.html
r-lib,keyring,"https://r-lib.github.io/keyring/index.html,
https://github.com/r-lib/keyring#readme",https://r-lib.github.io/keyring,https://r-lib.github.io/keyring/news/index.html
r-lib,svglite,"https://svglite.r-lib.org, https://github.com/r-lib/svglite",https://svglite.r-lib.org,https://svglite.r-lib.org/news/index.html
r-lib,cpp11,https://github.com/r-lib/cpp11,https://cpp11.r-lib.org,https://cpp11.r-lib.org/news/index.html
r-lib,ragg,"https://ragg.r-lib.org, https://github.com/r-lib/ragg",https://ragg.r-lib.org,https://ragg.r-lib.org/news/index.html
r-lib,ymlthis,"https://ymlthis.r-lib.org, https://github.com/r-lib/ymlthis",https://ymlthis.r-lib.org,https://ymlthis.r-lib.org/news/index.html
r-lib,rprojroot,"https://rprojroot.r-lib.org/, https://github.com/r-lib/rprojroot",https://rprojroot.r-lib.org,https://rprojroot.r-lib.org/news/index.html
r-lib,ellipsis,"https://ellipsis.r-lib.org, https://github.com/r-lib/ellipsis",https://ellipsis.r-lib.org,https://ellipsis.r-lib.org/news/index.html
r-lib,pillar,"https://pillar.r-lib.org/, https://github.com/r-lib/pillar",https://pillar.r-lib.org,https://pillar.r-lib.org/news/index.html
tidyverse,hms,"https://hms.tidyverse.org/, https://github.com/tidyverse/hms",https://hms.tidyverse.org,https://hms.tidyverse.org/news/index.html
r-lib,rray,https://github.com/r-lib/rray,https://rray.r-lib.org,https://rray.r-lib.org/news/index.html
tidymodels,textrecipes,"https://github.com/tidymodels/textrecipes,
https://textrecipes.tidymodels.org",https://textrecipes.tidymodels.org,https://textrecipes.tidymodels.org/news/index.html
tidymodels,workflows,"https://github.com/tidymodels/workflows,
https://workflows.tidymodels.org",https://workflows.tidymodels.org,https://workflows.tidymodels.org/news/index.html
tidymodels,themis,"https://github.com/tidymodels/themis,
https://themis.tidymodels.org",https://themis.tidymodels.org,https://themis.tidymodels.org/news/index.html
tidymodels,embed,"https://embed.tidymodels.org, https://github.com/tidymodels/embed",https://embed.tidymodels.org,https://embed.tidymodels.org/news/index.html
r-lib,tidyselect,"https://tidyselect.r-lib.org, https://github.com/r-lib/tidyselect",https://tidyselect.r-lib.org,https://tidyselect.r-lib.org/news/index.html
r-lib,fastmap,"https://r-lib.github.io/fastmap/, https://github.com/r-lib/fastmap",https://r-lib.github.io/fastmap,https://r-lib.github.io/fastmap/news/index.html
tidymodels,butcher,https://butcher.tidymodels.org,https://butcher.tidymodels.org,https://butcher.tidymodels.org/news/index.html
tidymodels,tidyposterior,"https://tidyposterior.tidymodels.org,
https://github.com/tidymodels/tidyposterior",https://tidyposterior.tidymodels.org,https://tidyposterior.tidymodels.org/news/index.html
r-dbi,RMariaDB,"https://rmariadb.r-dbi.org, https://github.com/r-dbi/RMariaDB,
https://downloads.mariadb.org/connector-c/",https://rmariadb.r-dbi.org,https://rmariadb.r-dbi.org/news/index.html
tidyverse,nycflights13,https://github.com/hadley/nycflights13,https://nycflights13.tidyverse.org,https://nycflights13.tidyverse.org/news/index.html
r-lib,gargle,"https://gargle.r-lib.org, https://github.com/r-lib/gargle",https://gargle.r-lib.org,https://gargle.r-lib.org/news/index.html
tidymodels,dials,"https://dials.tidymodels.org, https://github.com/tidymodels/dials",https://dials.tidymodels.org,https://dials.tidymodels.org/news/index.html
r-lib,sloop,"https://github.com/r-lib/sloop, https://sloop.r-lib.org",https://sloop.r-lib.org,https://sloop.r-lib.org/news/index.html
tidymodels,hardhat,https://github.com/tidymodels/hardhat,http://hardhat.tidymodels.org,http://hardhat.tidymodels.org/news/index.html
tidymodels,modeldb,https://github.com/tidymodels/modeldb,https://modeldb.tidymodels.org/,https://modeldb.tidymodels.org//news/index.html
r-lib,lifecycle,"https://lifecycle.r-lib.org/, https://github.com/r-lib/lifecycle",https://lifecycle.r-lib.org,https://lifecycle.r-lib.org/news/index.html
r-lib,gtable,https://github.com/r-lib/gtable,http://gtable.r-lib.org,http://gtable.r-lib.org/news/index.html
tidymodels,probably,"https://github.com/tidymodels/probably/,
https://probably.tidymodels.org",https://probably.tidymodels.org,https://probably.tidymodels.org/news/index.html
r-lib,rappdirs,"https://rappdirs.r-lib.org, https://github.com/r-lib/rappdirs",https://rappdirs.r-lib.org,https://rappdirs.r-lib.org/news/index.html
r-lib,roxygen2md,"https://roxygen2md.r-lib.org, https://github.com/r-lib/roxygen2md",https://roxygen2md.r-lib.org,https://roxygen2md.r-lib.org/news/index.html
tidymodels,workflowsets,"https://github.com/tidymodels/workflowsets,
https://workflowsets.tidymodels.org",https://workflowsets.tidymodels.org,https://workflowsets.tidymodels.org/news/index.html
tidymodels,usemodels,"https://usemodels.tidymodels.org/,
https://github.com/tidymodels/usemodels",https://usemodels.tidymodels.org,https://usemodels.tidymodels.org/news/index.html
r-lib,clock,"https://clock.r-lib.org, https://github.com/r-lib/clock",https://clock.r-lib.org,https://clock.r-lib.org/news/index.html
r-lib,downlit,"https://downlit.r-lib.org/, https://github.com/r-lib/downlit",https://downlit.r-lib.org,https://downlit.r-lib.org/news/index.html
r-lib,generics,"https://generics.r-lib.org, https://github.com/r-lib/generics",https://generics.r-lib.org,https://generics.r-lib.org/news/index.html
r-lib,webfakes,"https://webfakes.r-lib.org/,
https://github.com/r-lib/webfakes#readme",https://webfakes.r-lib.org,https://webfakes.r-lib.org/news/index.html
r-lib,brio,https://github.com/r-lib/brio,https://brio.r-lib.org,https://brio.r-lib.org/news/index.html
tidymodels,applicable,"https://github.com/tidymodels/applicable,
https://applicable.tidymodels.org",https://applicable.tidymodels.org,https://github.com/tidymodels/applicable/blob/master/NEWS.md
r-lib,diffviewer,https://github.com/r-lib/diffviewer,https://diffviewer.r-lib.org,https://diffviewer.r-lib.org/news/index.html
tidyverse,blob,https://github.com/tidyverse/blob,https://blob.tidyverse.org,https://blob.tidyverse.org/news/index.html
r-lib,cachem,"https://cachem.r-lib.org/, https://github.com/r-lib/cachem",https://cachem.r-lib.org,https://cachem.r-lib.org/news/index.html
tidymodels,finetune,"https://github.com/tidymodels/finetune,
https://finetune.tidymodels.org",https://finetune.tidymodels.org,https://finetune.tidymodels.org/news/index.html
topepo,Cubist,"https://topepo.github.io/Cubist//,
https://topepo.github.io/Cubist/",https://topepo.github.io/Cubist,https://github.com/topepo/Cubist/blob/master/inst/NEWS.Rd
tidymodels,rules,"https://github.com/tidymodels/rules, https://rules.tidymodels.org",https://rules.tidymodels.org,https://rules.tidymodels.org/news/index.html
tidymodels,discrim,https://discrim.tidymodels.org,https://discrim.tidymodels.org,https://discrim.tidymodels.org/news/index.html
tidymodels,spatialsample,"https://github.com/tidymodels/spatialsample,
https://spatialsample.tidymodels.org",https://spatialsample.tidymodels.org,https://spatialsample.tidymodels.org/news/index.html
r-dbi,DBItest,"https://dbitest.r-dbi.org, https://github.com/r-dbi/DBItest",https://dbitest.r-dbi.org,https://dbitest.r-dbi.org/news/index.html
tidymodels,baguette,https://github.com/tidymodels/baguette,https://baguette.tidymodels.org,https://baguette.tidymodels.org/news/index.html
tidymodels,modeldata,"https://modeldata.tidymodels.org,
https://github.com/tidymodels/modeldata",https://modeldata.tidymodels.org,https://modeldata.tidymodels.org/news/index.html
